Transaction Hash,Expected Output,Model Output
0x4c19bb28806cd1b2ee41abf9366148b43c8d36b7eb468bdaa4c47755bcd5a358,Revoked,Revoked
0x52b1811bd7dc7d55f108d7d15751e4ee2f1f1559965bde2d223eba13c4668a42,Approved,Revoked
0x5a8fb31b935bd74987efcb4f5b5a860c5ef4419c563882410023be0b522d30e7,Sale,Sale
0x0966feefa47a6494ae022943ba9936cd8f703eea8c26a5506f175d7f087a6eee,Swap,Swap
0xe374335ea0ce4a87eb1b4c1e8afeaf90cf0392759b43aea2626dbb0f5dd474f0,Swap,Swap
0x45e272e54080070935de142f9417e68067d1b1207e0c8f855b4b37a92f59a5de,Transfer,Transfer
0x1e58146d8ea6a264c1a03ee54eec29891aded258dd1f8c5cc49b76120b1f01d6,Mint,Mint
0x11e123704bd1d850318a09e3074c82543249f46d46cd741c484018ce164f5524,Sale,Swap
0xe738dc9ac482c3df4a90d1594b15858c358d334377579248b6a7eea126c313a8,Unwrap,Unwrap
0x141875948f8e9c41233501d65ae977dd7a64e318f68e8df85654c09af1543671,Sale,Sale
0x6e6600d24edcf0b96404643b20a99d10b435ba8a050bbd1ed84a0ed5d61cc6cf,Swap,Swap
0x3a46c159c9e076c044f208a9880b5e1d07ceb9c877b99609e62917dc3c0b3644,Transfer,Transfer
0x527340ead078c1c3ae96da6cd27fb4c89c111b14922f2bdd09e84148ed30bdab,Mint,Mint
0xa6fbcc6ea86ab9ab37ed5cbaaa472ca4f42e8a4afa6a4a853bb807bae6c594a6,Transfer,Transfer
0xc825b9f2a2e1e325443e09b9e885b593401c66266adc0fb992ff794d6fa7057a,Approved,Revoked
0x4d86809eab833662f661f25199e84817339513d4b2eb73993042033637c6eb54,Sale,Sale
0x54db2f60260855ead311d8ef38a92ce8ff402346fbfc5b6c5f8cf06c8fa9e5a7,Approved,Revoked
0x6b7f5965acedcd0de260ae93dc688d700529c852c820bc86f23edf83a55096dc,Sale,Sale
0x9c5eeda01900321b227bcd82253572e712638f4e2b018bbb263373fac827999a,Sale,Sale
0x43aba51237c8da0e1c0cde4fc4118de2a353b188ed7e203e3de298081bb756fd,Transfer,Transfer
0xe4cd48608c67afaba9c7ad5c57e17f82dc0ce2d3574b9d20f6bc840e99360bee,Withdraw,Transfer
0x4fc7d542e10856f153acdb7215fcb969ae100de8277399ab76d7c616563a114b,Deposit,Sale
0xa2e6391ee2ef31cafa4a1f4bfc6a690d462c44a823f5d925c7abc14efb2a24ee,Cancel,Wrap
0x3255ca21da20ef6b4f1657103db4737c6d9c116dca0e00cad28f6493cd9a8617,Revoked,Revoked
0x1b27967bceaa804de323523aecd186aa164f3e85f8fedb10c68e79d9189551cb,Deposit,Deposit
0x2d40d8f15b5a702397fcfef2a428882931fdaba26dbf13467a457fa03c23bff3,Deposit,Deposit
0x1ee0d26dd32b93af9294e25623655e994871874dd27ff3567e41daf09f3ac1f7,Transfer,Deposit
0x334efa4469a2a05aeeaad04e94879da58a0c9b9ede31c0f9c66c5fdf0b67ba42,Wrap,Wrap
0xc0d7c25b6a9531a8487a4d0843f5adc38a9f1526c7051262bc383298d6fb2e72,Revoked,Revoked
0x7820760bb6958155462ae56eeff6bd029467871f4ad0cf75b5a2e7bfe34b2f72,Mint,Mint
0x9a2ea2d491736be5ce351e8c4f9d2aab75aa447a7b7ca2b7650ee0b209e678b8,Swap,Swap
0xa2ca1a130a3ce748c64ad0b63524d91464465f4f6712c70308423268dfde9885,Withdraw,Withdraw
0x10076a3b3f3e5f86f62a189b18bf3c94c68a6003bbe81b00f5e1564dd7958ce9,Mint,Mint
0xffb598dd39a5283640ff2d3f004b851e2746eff35787a0055c53c91d8f392b2d,Approved,Revoked
0x66eaf9b4109a205f302d2b6282d912a5c3fd562f1d679df4902d2fefc6a9413f,Approved,Revoked
0x43b292e750db88e9c3d3cf480e8426b42f8b5e8d41762c165c5193bcfa6d5e91,Deposit,Deposit
0x0571ad7dc85e43045c2b75fb2d2f430b73f79133705f13d04930c64b7947dd09,Transfer,Transfer
0x6351b3e738c140de75e45a15d1123f34fb11f35ec5a1470d07e9afb2f1f3e42e,Mint,Mint
0xc0bf56cf7c415681a2c7490f33ac372f76966a670f4769101196b9093bd3e285,Mint,Mint
0xaf2763ea7ef990fcb85ac645888b681af63bf95eda10dfb902ef2cf8623546b5,Unwrap,Unwrap
0x7aff40106f9e2dd7340b3c33b61d50212e29f63a19f03c4748e0b032c181bfbf,Swap,Swap
0xfda35ed3b3ed57fc2fc8101e832c7ac112b8ae27305f6b3989b8d8a7ffe2b3c7,Swap,Swap
0xb7311495e39c66afd4a4bbd0dfb3e1f6e1571a6ef451935e9c1a0505dcd68bc6,Mint,Mint
0x78a80223c932ac5ea61720089771050faa5aaf1140334b1611cc737049004d1d,Mint,Mint
0xcd537da595fa6b99ca24b77b8fc5134c7dec897895cba7543d370fcf2427103e,Deposit,Deposit
0xbd55733eb4239b4210c93d2257ac4be18fe9eff1ceee72af7ebb7b65f9539c42,Mint,Mint
0x2d7ba66f1ab61d89bfaef8b7053141906c395848a7f95095f9eb6cc8a75e2d11,Transfer,Wrap
0x55dbf94046fb12ac76a84fb11f2e06a0adee7a00be04db914a789679bb3b4e36,Wrap,Wrap
0xd9a785495dd476737af1576b6112d53f124d02c41ed85a7c04abaebc769d4059,Approved,Revoked
0xa6bb264a62f7f5243d87745da94e7f956d0948ed85ab435f9f955982c4b4e8ae,Mint,Mint
0x4d42422c9ca870e59d739c3a7c082e813326645efa05b2048f8afa1e33a0cb13,Mint,Mint
0x7c536aa9addf533858418e08300b55b5d64b310ec86e5dab1e3e8b99f13fce04,Sale,Sale
0xc34d963665941b30bcf539b836b1e62aef37baa88a2b260932db3ae3cf0c0ce1,Swap,Mint
0x2edfb94396154c47bfc1f86dc201a0cf6bf3803af76b1de7a8c0d4a6b87d0c4b,Unwrap,Unwrap
0xf9cbc2abd9660bce3ae2d2a819c2f52062a3c02a38657e63d48cdfea69385baa,Transfer,Transfer
0x7f4564a13a40a6a3ba639b4c1592536b0de8d95b2c50f522ac28447fe02af0a9,Mint,Mint
0x8aadfead5faafa3a816bbb6a4c67dce1408b6f3b291c290967fedc52e3bb0669,Swap,Swap
0x8ed1044203b773732ee480297238f1a7e4222280f1fbc5968e147b0594739f1d,Approved,Revoked
0xf564fead1efc85556ecd1c12d03e679598d23315d427dc77a7fcd341312e0023,Unwrap,Unwrap
0xc62973fcbb4607559a438b7c251856baa6b3b812c468a9b436cc925c8e92e0fc,Swap,Swap
0xd555ee0ff81b99c702c648048332aa223a1a5f0d76ec16f037db8b79c0bb80bd,Sale,Sale
0xf4ceb7e1a7a75412f1e7e71353b93252689115a36824654db36a59a52db4366f,Mint,Mint
0xeb4a759398f3739bdeadb54884f0df87156946a5d6b0b121f6ffe8587d3fd5a0,Sale,Withdraw
0xda4c108cb25ae14c3278c9224e05e93a94ea40c00625944c676245e6bde1d88c,Transfer,Transfer
0xeb901d61d15a37f8069c096f61c1e0dfa3ffec7c3693d94b59109aa97a319e8e,Mint,Mint
0x97498f8170392a4699e38ef8a5e9d7730dbc369a7a58fd225e4fbe99784f6b9e,Deposit,Deposit
0xe5a27f13e57622a0d8f5069a952c61bd77d6b576a7f4359321c07f1662edf31d,Transfer,Transfer
0x2b936271b1ec6ab53cc95a06d6b1847e7635580f3cda287bd26a69888a2ab6eb,Transfer,Transfer
0x912746beff85b0590929c197c43e3259088fc62e50390a6b2277a799692f57e1,Wrap,Wrap
0x4f901a5b53f24c1ae32f71e02d7a981381f03392864ff1c0c47aeae2155c0f22,Revoked,Revoked
0x6f30d94e8fcdfe74038ebb47044f9523056ab1a55f9fd5a1097e78e33a1befdc,Sale,Sale
0x8fa13c27520a7cf01765de37f20d0c20d9143a60dbc5e7cad76e8fb0a8d6843b,Sale,Sale
0x27929467aaebbee4c756ea8226d30d71aa625b75d2871d2ca2c39b9735add6c0,Transfer,Transfer
0x0e086514b3058047396681f2fdda8f02bec87bdf3df77e95dd146c54cf38b9bc,Approved,Revoked
0x19e032003a50f36bb66cf34404572c071245524bf2a013bc4bd7f4992b196d18,Swap,Swap
0x9aaa4b2b376f2bcbb240d97c8fa3120a3974a4d05eb157af7a73a8a7a5630924,Deposit,Deposit
0x7b5838b73c425b429cbe95c8efc595e956030d9a089555de7d108db1bde2d19f,Deposit,Deposit
0xbacf5277338397b78d11fe467080eaf92fc59996f434821ac35d40ca7da5baed,Sale,Sale
0x670d19fd8d9a13ff4dcab9d849f56a203afe4346ced45a3f4572cfc36242d4c7,Mint,Swap
0x48b19d92deae8170d0b83af5c34367ab62a117b85bef77244ce2be35f42c9c4a,Swap,Swap
0x2df1dfc56598c33de9d2d5de6e142caa519b938bb775e7704015d6e06e3c78a2,Mint,Mint
0x5ae6e96be32e9fd432fec7ee02729c078b1becdc2002685b0801934f57e16c43,Mint,Mint
0x6bc8f5937cc1bcc809882cbaba039f482f3632d8d6f0814c78f7358d48cbef64,Sale,Sale
0x854e5b32672a2ff4a03962d4d1b47b5df668d55c2b621ca2dd8fadc794783848,Approved,Revoked
0x02e149c8b09d9b6c7687281d0b562f24b79e84cc80b7be4314892920704e4525,Mint,Mint
0xf0edffb5a135ed60b2efd54c98085cf38453a405f88ded237a68152b20e2563c,Revoked,Revoked
0x9e94dfe121d9659a99afa49ea30e4a60a241f3ce8f25e6686d79478a60d6ea2b,Approved,Revoked
0xab945299cca11506bd13508a9457966fe7ab8bc35b6b7345ccaaec5759e14b3f,Unwrap,Unwrap
0x7c0749f3475259f85c2e6fa082add776cf84e00820c6e5e3bc73f1e89117d5b1,Mint,Mint
0x14ea844ab4b6a171abc8051b60b12160cbb7edfb3f2630f4cadb68af8188e94a,Withdraw,Withdraw
0x14a2c82b431741d611b9ce198894c974aa58f22e40242d8b20eb21a26f0699cf,Swap,Swap
0x30c2b5d4b82e65dab23e7023916d80b135fd31edac8818a2932be5ea72477f3d,Transfer,Sale
0x637d4c9288f6668f954b851139303c07a0e55f71aaffaab4ef1a153d3b287ad5,Mint,Mint
0x2891754cc78cab7fc6ac3b8104be9b192d2737ebebacbb75970541306bebf429,Swap,Swap
0x68cc14e56405f8a5f91a1687af893ea7f5922bf8c3b5cf63a9187ad38c78ba10,Mint,Mint
0x8989fb2d6306b9ae46d36869cbc65049a23676646cf83d90512f630d0cba12ab,Approved,Revoked
0xac9062fa467f6b6918fac05f48eb6d871ee39c92075827b0964b3f12a9c79803,Approved,Revoked
0xdcbea65c09a93bdad62343240f97313c0573331ddccc6688e5b5e9f2e32052d6,Deposit,Deposit
0x163d1ccaaf1e269d7fa0a7e3a9e522405345750ced71f7890483b38b596da5d3,Approved,Revoked
0xc46dc8b45f26789d9d4142b74d831cb8d2c004657afd95770fc48b6eed7a5175,Unwrap,Unwrap
0xcf7d2139cf0eb63d5ddb71c87947d684be8942edf0ffe426b5c49c36153d3bad,Sale,Sale
0xca4ddb73200e000472e4c579254359b8231e130a2e0a18acc9b7ccacc4a4cfac,Revoked,Revoked
0xefb6a9168e451129e31958b75b4145d6dc6788f32cab36bd56cbe9642202c30d,Withdraw,Withdraw
0x119b7d453d24c4e8c092c6d40135d7e2fc851e9227c6d485a2eaa5156d966977,Sale,Sale
0x1bb914338f5175c20f921c1e1e6ff51071e6a839f27fff1d0c62bddf0e210669,Transfer,Transfer
0x262c2ad555038faf7fed8b902c7df9e437ab950f04125bbaf7f5dc0b2f798a07,Sale,Sale
0xb3e71e9363273555a206ed6cdfa011c5160220eb529e4ccd077045e99ec7b0c6,Sale,Sale
0x65dd60cd2e20c5eaf3c469199319e9829fff945348aeb0ca52fe5e643c3fa35e,Revoked,Revoked
0xf05db999ee0c0ca6d2f40df3e4a8e94547ea44d13ff2e6480e8e05506cb5e267,Approved,Revoked
0x8606199eba9d2ac94fcbc41adec020adae677996e939390b6a68e88984d3ca55,Swap,Swap
0xabb4eb49df1128b8770bce9e8c73194f5cfff86d947b4dfc5afdacb6ab7a36c7,Swap,Swap
0x7e787303aecba98ba3b6f5f5b84918a82f3306c6edf7f6d84d31e3ee480cb25d,Transfer,Transfer
0xf49e85675fc939b5c7be9feaaf3e5c11c283ac895c53faf180a4eeac8f424a6a,Mint,Mint
0xe2dcc5152094c8a0a7ce2a594f51ffcd2287920b739479607c6a5a77280412dc,Swap,Swap
0x48784065a02dbcb80d9675501c0b08dcde169a6d6da3541f4cd20138a5387f37,Transfer,Transfer
0x9e9880e351cfa98dd666ec7ba3e11ffc8ba7394c6cde233ba9ece8c07503e563,Approved,Revoked
0x1fc9deb7cdee9294cf42515a8a876942e5f75cd8a90ada8c3623fd12d2b446cb,Transfer,Transfer
0x59fd4d34d4fabc35bffe7126c2bbc141b525a0eaf2dad7712b7b8a3b33d36c96,Approved,Revoked
0x1b328ceb6f334e6c683f16ab2ab8732bc436908947daa659af7b2abd445a8376,Transfer,Transfer
0x61a7b142ba8ac31a56ab587e74b0097cd6504100f428645af3c2e43c6c316f81,Revoked,Revoked
0x3567efa412f18aa471176cf31272100b97a0a1f52dbf378340a2057de75aa4d3,Mint,Mint
0xfc08d26b308e5292bf4f9f89ca5641d7af038eda902a5f4b8a46a9f04a23cd74,Swap,Swap
0x00579b74a0905d57180fdf4406f5c1a777cf41eaf8fb43eac27fecc2fd3a11ab,Sale,Sale
0x7f2f60c9e4e81359d42fc6e36a151fdbd5535eca6dd085a58cc1e32061e748b3,Swap,Swap
0x6f9d017d3e4e08113763e3a9085955686112f5933c0405add6192735723a060a,Mint,Mint
0xb3643b13cd2acd777ec71e119c4ebc08d8e704b51b5eea0215738fcc24cf2afa,Deposit,Deposit
0xdc748215cf06b2ccc02ed830a7aabb9d70c06c8def68dc705d69e0d4b8800344,Unwrap,Unwrap
0x2fb8b92d7381d7c8a4510fdcfd5119edcf225b7aa75b0001a0bf2a67456f2e2a,Sale,Swap
0x754d2e7763abe8d2c82bbda135d53b896b2f00e7e85e9a3935a433cdfacec506,Mint,Mint
0x74f72052444a66fc3196a8973cb7d691349bcf17fc19e9657e965d30e9f73b70,Wrap,Wrap
0x070ba510a2bb259ff065bcb561d8df7759b3efb57c88120cc9995b8cadcf0718,Approved,Revoked
0xc1d661219cac4f034d0e2f80813fc2f5ca2e330399116491ad1c6fa8e97fac45,Approved,Revoked
0xfcc6a59c25d225c27ca8d44024983187ca0d3652cd9a7c3164a7b3accc4dfb78,Transfer,Transfer
0x6305558f5c782248cd936b4ef2deb48c3a288d649cdf3273ca2aace53a28608e,Deposit,Deposit
0x7aa7a1f338866bb84e4f6c51e06afcdc58627168525ed82da8bbce860aa779d5,Wrap,Wrap
0x5615479490169cd8fea09a8eba43a70792b388d0172d4218704aebb4c779fab2,Withdraw,Withdraw
0xb8d71643b5e9d37f309f8c2a0abf945d0407724856926e12e6222bb18a88734a,Transfer,Transfer
0x085a0331d7199df1c92410aa39c1b7261788a289b8e57f4aff73c7a658bddd9a,Cancel,Wrap
0x802d92c30834c2cd831dedfcdbaf616425e3ce0fe33e94c423715ab749ead35d,Deposit,Deposit
0x5b95955c9b88f8776b571f340a5873e936902bf57b343bd1014c2dd816be0ddf,Sale,Sale
0xfe4575ce4fe21812a4c039c99ec49fd4544fbcc675473adcd31e087e640b8d63,Mint,Mint
0xfabfb8eaaa1825824f62dedccfeccb698a200ebca4005d5be02bc2265a43d90d,Deposit,Deposit
0x3442345446822d294e0f413f85efb64394ce4e16ba42ac86eab6904c89918852,Transfer,Transfer
0xcd80664ad1d4b6906b3cb298f4e473a35271302b462b8f36e65c373a6080d5e2,Approved,Revoked
0x2fccfd2d63e161144f0ea635dda9896abba142975cfaa6c10b7d90e8e4dddf25,Mint,Mint
0x4b93e02da972ccd9f45d8e4468d6d2a70e1c2c2f057348b88572c5e9a493149c,Cancel,Cancel
0xc876aac435d8ab6fb221c05246bb7dd34f5010d0a462d012121653838aa63641,Sale,Sale
0x063becad7f88e47ba01f6e2f6ee7c335a147c74dbab935b7e0ce145dea055f92,Swap,Swap
0x3a072a98c96004cf528cc80d684b9cf6df86c45681c823cb815d0348a230fb61,Withdraw,Withdraw
0x1080f0bf976ac5c73f4655008de24689dc75732c5a5a1fb634c2ecb083cc5d31,Transfer,Transfer
0xcd443f950e3ee6a1ad21f2f1e681a2cdfd1073cf81caf82ef5d3569a0c8d8050,Mint,Mint
0x6239b2cde729c478aeb97b0abe5086ac591d9634415ec00f1ba05890a9d1a8e7,Mint,Mint
0x4493055325c1970bfee112936cce6adb4ac0b80cb2228eb2ca93dd435575b972,Transfer,Transfer
0xc165b69aa295ad29ad1c60c6999c8d197cf8cd0145c211a44a03ab749a4f8c21,Mint,Mint
0x2c318362f66023ebd8703d41896d60d0427187fc25fbbd2844c1f5986986101d,Sale,Sale
0x0f8a98f7db85d86b6bb1803282cddfec42903e93392fbcd9ea5c66b66190df1b,Approved,Revoked
0x5ede6d7d53e73c915f25aef73d2934492eeda59d6b869ac9a34610b4c62fe827,Wrap,Wrap
0x11cadbb7abbe4147f7703d1cbeb28cd016d7e48ad3bb383b5009cc6811999a1b,Withdraw,Withdraw
0x939ab775834a510598ebd622a9faab59912d5f081448b57032c4dacac4c7b6c5,Mint,Mint
0xb60933e3fb89f6ad4d8700dda7f4b49ea722af47d93b29edd58b673238af80e9,Mint,Mint
0x69c880c6347b5e4d028812500c2deafaefc28e5f4b01bfb4024b10c796eed64e,Swap,Swap
0x79ae17e1d02f7ab67bca4c24da6b00fa87e62e6e5dea67c8d9f677fa75da0083,Sale,Sale
0x8f88cb7472c944d6a85683596ba2459f36f5ced87327ab764173bf685d0ebc57,Revoked,Revoked
0x1b649d3f93d15c43e938871cb50e8d57b82c0673f02feabce0838ee79691fbd3,Mint,Mint
0x4919b8ffa59cf3bafcfd32b13d6f058104ccc0dbe3d247b38622bc5939209462,Transfer,Transfer
0xb0a1c26bbacf1e60e369ea6259be42217e68ad4ac189bce7d78ddc7a0205b393,Deposit,Deposit
0x6e5b3fb7b60971e93900a6a0382aef2de731e6e63874ced3cac776d52b18e693,Mint,Mint
0xac4afae4ab9dba0ebcda2bc145c9340eaaf57eed67660886af8b2616c2dbe1f9,Sale,Sale
0x5908b78521f983d6adb96d218c3e5766718e8a599309a27a1a9d0e6e6e68693d,Revoked,Revoked
0x8c43b0d20bfc89410d3e0daed2de3cc654df46686bebf6533bbb91dba6b51aa6,Swap,Swap
0x8018bc32cb264c7d6d8a81813d75170fd84fada54b7e056c9c642a34b4dd2fe6,Cancel,Wrap
0x5f26844690cfc5b5975261db059621d14e4c9bf754003885e1eaf685bf038b84,Transfer,Transfer
0x5c052016fcf779138bf7f10943602d6243a78de476590f15119fb475adcad876,Swap,Transfer
0xc5d19c2029f6719d502c56948bd03c6cb38fab974f3de1bcc3284ebbe873addf,Sale,Sale
0x6b1e0305e1e861494dc4442734b982292014c7d3e7f116a50266e12598a6e406,Approved,Revoked
0x1a1f9787cfc63e744b60b7dc3c39aef8429235d65f8bf01fd4753029544cb872,Mint,Mint
0x9bc05739b66fb1ab714386782ed4bc616f20fbaeb6652b980d0be10a9688d904,Deposit,Deposit
0x0f2c6bbdefbabc8c9fc694f6ffb8b3bbd7cb163b768cf3822846c6964e5ccc26,Sale,Sale
0xa15043e864ce9a3c98053f022a22865fc84ac50047fb0bfbaabad2dbf1b81987,Transfer,Transfer
0xeca65c037dfa67e62083aedd013e0d523f2d260a34a34198292a43b1c08f282c,Sale,Sale
0x03dfb47ce33ab776e7ebab2420dc70c03edf7003a9e3c64fe5d15c3326e4ed27,Deposit,Deposit
0x6b7558b4d79911ae75dc7c29e0740db79fcfc83c346ddc3bae1e896de27096b9,Sale,Sale
0x56135821fdc28d5b4e61a71f95fa0a90f49f3583b9ed9c2c6c215f86f6f2b956,Approved,Revoked
0xa3a380bb28ac5a8d7a70888f980b87b16bee92ae1dd08d87dc55d2d94b542537,Swap,Swap
0x4f12e59522976b1f20fe29168648700a8a8ef4e086cf8c03fcf3c49d5ce40b63,Approved,Revoked
0xe750f2fdd7a9c80193bc0dc9fba2956e525fb33010a851d7c59b94f46ee0be28,Swap,Swap
0x9c213ce7f28f5a2aad1718e46d8cddb5851bc8d5fd7c8d301a1842ddb67a76f4,Sale,Sale
0x55077dee13b9d3acb69ad68b4ea5c4f9026e10637e731bf9ff75f8ac9ae7ed1d,Sale,Sale
0xa0bedbc23f939fa7212e9ac033323b259f45ee75d1791d65825cdeed3da0c1fe,Transfer,Transfer
0xc7fc2e34c8fb7fdb29154e1b38bd163abb0a888a783120cd4c61a1646a5f5905,Transfer,Transfer
0x21bee84dcae6553d4564fe9e27bd3e0540b878252ec81ea98681429dc90855ed,Swap,Swap
0x000c1108b660c5589782ff30442b05392f7dbed06bdcd30de786f4a77dfab6d5,Mint,Mint
0x7c551d556d02a88037d276ff84769e2448fe3f9d65a44ed28338faea19336a46,Approved,Revoked
0xbfc35656b7b471f0280486ed4c060bb6cac0527f0b458d07e58997692dfec27d,Transfer,Transfer
0xa71a31e1cc40c7240cefee4ded86d9edb5d309a6bdb6f7176ae0543262fc98fc,Swap,Swap
0xf6a21a4d01c14ee236d97534cb58e009b703c5acc3bbc3985abf29f2a9c1250d,Unwrap,Unwrap
0xa52ec0bcc597362f1e4e4e4b76ade4ac1fea7bcc056324e6d389bc6fc945a697,Approved,Revoked
0x8d47fb660ea910014d136de2687f1f04d96e4717f8a34a2e9be99b59dbae41e8,Swap,Swap
0x8c6a675edb73ebf7324f3b7dccbbb7d4800c92cef7203a921bffa2286931e7fa,Sale,Sale
0xf5dd28c11cfd8afe4ed7698c767ad506552ff965a3f8f3d3f2d10c16e344b036,Mint,Mint
0xd19a1819288022daf806c83c0609a514d149348504780360fc5e3de3ac137673,Mint,Mint
0xb7f61845b0177a919b8ebe5eba0153e7b367cd20106e43c1a36984920b662a69,Approved,Revoked
0x168b11d41bdcb0d0e20275fef13c78cac2c461b4548745c9cba18025e4473af5,Approved,Revoked
0x4f737d843aa633db74c75cb0a72ae19ef74041ae93f8db29172314ebc57bc663,Unwrap,Unwrap
0x59bf3a1a6a3ed890e9e6693c7b17024763397db0a8b7f5a728647557c1a3b9d8,Swap,Swap
0x20ca9d733ff005b0ee21f3a2c945ea8aa04925701de01c5f62baf779b54570be,Unwrap,Unwrap
0xf92e458365854ff8fcee99c6b332b27cbc359649a73e37ac35cc7e83bbc9f4b6,Swap,Swap
0x68a65976fc018a3a007db5fe9d2d4897f6c41d671505768150ba70f5b9801336,Transfer,Transfer
0x4e9cc5e00fa0bec60e8b88f48f13f976149e6b69fd2d5e239f88e40c8d2107d0,Withdraw,Withdraw
0xe507040a4623e70d6133ba43d8294e027ee4fa8d57753c09e3eb5b00dc110ecf,Sale,Sale
0xc4c819a686ce7b5bc59a6288731ee50eab39fe5d409b7b16f8c04dba2e4a876f,Mint,Mint
0x0fcab0a668ac64e9eaf1494fc5dfa0b3cec81c0419d258bb7252cf8939035dc4,Approved,Revoked
0x552424cdfe053bfe0903ca2be975f6dfda8c11513bb8420d6ce66396e804d5d7,Deposit,Deposit
0x56a4ed6ef0fb218cb472c44ab113ab578ea539d3e52e0e7eb853a05c06f62b50,Revoked,Revoked
0x53a53a52be961ed1419cd07fcdb2854f5bd51ccf47a6bfd7e025005f71399e67,Swap,Swap
0x7cd42c70738b1e2a6698a7d24aaf01d197202a74ebc69418674558cb46e1c33d,Transfer,Transfer
0xde6a502ccf39fa0791d5c35b6753a5a90ced2d56be4e09985df1b6a020fa7b89,Transfer,Transfer
0x1e22450deea6f2d41e500d3b240b1b9de054a93b84a59839ab0b000698573f2b,Swap,Swap
0x31bfcf449376dd9cfb0d10e00496a764b8410bcf82e5f5703380990d751ac16d,Mint,Mint
0x8cd2b1a7d63f66d992cab92aca37759fc4aa073fd74f17188cc32e7df1fc97d9,Unwrap,Unwrap
0x6f03f5e1d0a314b7d7d6cdcee605f781d6f3abf66293f34bc0070db9fb4af46e,Transfer,Transfer
0xb624298a4d9f280ee039e98dad39d6a390897bfddd094d9b6d4d2271ada17789,Deposit,Deposit
0x4932fae891dfb1d6f1e5bd083e1302f3ce4412a1cf36da0e67b2476f6de8aa15,Sale,Sale
0x2bc9338087994d9c040947dd88a3c5331180532d4cd8e39a77eb2e3938ecd2ff,Swap,Swap
0x59c923a5c1c7621ac2eaf876776f2136fbd5fe47517eb9bbbd8a271ad1717e55,Approved,Revoked
0xe79dcc98204e1b914d7f0cd7b12693d8552320bd2e6b7c26efa1d6459b6173d4,Mint,Mint
0x08a5134b5ae85e85249c36cc2fbbe7f2e1040f574907b581be5fe04be5fe09ca,Mint,Mint
0xa46f8b7dc0e4970c15636976cb81b5c032fef58d3adf0e1d26a280a33c4e7fcb,Swap,Swap
0x16c611ed0d99d2846363bd4cbaa39e6b69b1173acf871089e8c5b0cf7c48099b,Sale,Sale
0x28f04c7a2b3172debb70d9c3d01701e3ca86b35736f08748f085860f8fd03637,Withdraw,Withdraw
0xc1a859f9873c7b7cd77269d0945a5bfd58b8dcf44fdf4d003462e1102cbcae0a,Transfer,Transfer
0x65bec39cad966339af6b1fe1a93ad903b0009d3e10289e2ff103453d69081b02,Swap,Swap
0xf0416f55e3e37827c2c1844a0b3838db5ceaa56c7001c01a93079f1c909d494d,Wrap,Wrap
0xfcbf111d5477d0fba20142ecd718b632b33a813ecf591115bc5a578610a7af51,Sale,Sale
0xb2e92e525c925d4d3575be5c6ff6cbfd10f5a3f7a298072171c180909c3717d1,Deposit,Deposit
0xca8d684b7ba079edc1fccf79a91545c92076795ca8b7e2736710611c1d90bf5e,Wrap,Wrap
0x48bec3987a3345efbbe9b7a4cee398155a41fccd12253e31eb51294ef461e793,Mint,Mint
0x5ef9a145295a21f300e49ab72f5cf0ef6b0727572cae925489ebba43ab52f7c9,Mint,Mint
